iter	Accuracy	Logloss
404	0.7147111624	0.5557725118
405	0.7146415798	0.5557298809
406	0.7146694129	0.5557136358
407	0.7146415798	0.5556706769
408	0.7145859137	0.5556397052
409	0.7145859137	0.5556280894
410	0.7145441641	0.5555940318
411	0.7145998302	0.5555733018
412	0.7146415798	0.5555481664
413	0.7146694129	0.555506692
414	0.7147946616	0.5554839553
415	0.7148503277	0.5554439863
416	0.7148224947	0.5554033777
417	0.714752912	0.555356065
418	0.7148224947	0.5553481146
419	0.7150590757	0.5553265818
420	0.7150869087	0.555303514
421	0.7151008253	0.555292892
422	0.7150451591	0.5552539807
423	0.7151286583	0.555202123
424	0.7150869087	0.5551824959
425	0.7151704079	0.5551645911
426	0.7151564914	0.5551335999
427	0.7151564914	0.5551162773
428	0.7151704079	0.5550777088
429	0.7153374062	0.5550428842
430	0.7152817401	0.5549850638
431	0.7152817401	0.5549817909
432	0.7152539071	0.5549431778
433	0.7153374062	0.5549152843
434	0.7153791558	0.5548504584
435	0.7154069889	0.5548288672
436	0.7153791558	0.5548090601
437	0.7154209054	0.5547763664
438	0.7154348219	0.5547349729
439	0.7154765715	0.5547142913
440	0.7154209054	0.5547001329
441	0.7153791558	0.5546700612
442	0.7153234897	0.5546364239
443	0.715226074	0.5546213887
444	0.7152399905	0.5546007048
445	0.7154209054	0.5545798127
446	0.7153095732	0.5545394286
447	0.7153652393	0.5544870621
448	0.7153930724	0.554438645
449	0.715462655	0.5544107518
450	0.7154209054	0.5544005964
451	0.7155044046	0.5543805975
452	0.7155461542	0.5543619783
453	0.7156018203	0.5543205861
454	0.7157131525	0.5542965379
455	0.7156853195	0.5542881877
456	0.7156574864	0.5542437385
457	0.7156157368	0.5542071732
458	0.7156296533	0.5541936516
459	0.7156714029	0.5541713588
460	0.7156157368	0.5541283296
461	0.7156435699	0.5541090262
462	0.7156853195	0.5540872972
463	0.715699236	0.5540597488
464	0.715727069	0.5540543012
465	0.7157966517	0.5540325815
466	0.7157688186	0.5539787179
467	0.7157966517	0.5539396295
468	0.7157827352	0.5539293487
469	0.7158662343	0.553860004
470	0.7159079839	0.5538359552
471	0.7158940674	0.5538034901
472	0.7159079839	0.5537793775
473	0.7159219004	0.5537628246
474	0.71596365	0.5537136477
475	0.7159914831	0.5537045294
476	0.7158940674	0.5536702275
477	0.7159219004	0.5536523421
478	0.7158801509	0.5536213446
479	0.7158940674	0.5536043718
480	0.7160193161	0.5535682718
481	0.7160053996	0.5535660607
482	0.7160332327	0.5535595113
483	0.7160471492	0.5535565069
484	0.7160193161	0.5535376173
485	0.7159914831	0.5535104341
486	0.7160193161	0.5534816958
487	0.7160053996	0.5534680172
488	0.7160610657	0.5534482926
489	0.7160749823	0.5534397725
490	0.7160193161	0.5534002623
491	0.7160053996	0.5533800882
492	0.7161028153	0.5533586296
493	0.7161306484	0.5533246912
494	0.7161584814	0.5532850821
495	0.7161167318	0.5532613029
496	0.7162280641	0.5532344269
497	0.716200231	0.5532132487
498	0.7162976467	0.553177297
499	0.7163254798	0.553102032
